,2,4,5,6,8,10,15,17,19,20,21,22,23,24,25,26,27,29,30
2,0.0,0.0, ,0.0,0.0,0.0, , , ,0.0, ,0.0, ,0.0, ,0.0, , , 
4,0.0,0.0, ,0.0,0.0,0.0, , , ,0.0, ,0.0, ,0.0, ,0.0, , , 
6,0.0,0.0, ,0.0,0.0,0.0, , , ,0.0, ,0.0, ,0.0, ,0.0, , , 
8,0.0,0.0, ,0.0,0.0,0.0, , , ,0.0, ,0.0, ,0.0, ,0.0, , , 
10,0.0,0.0, ,0.0,0.0,0.0, , , ,0.0, ,0.0, ,0.0, ,0.0, , , 
16, , , , , , ,0.0,0.0,0.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0, 
18, , , , , , ,0.0,0.0,0.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0, 
20, , , , , , ,0.0,0.0,0.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0, 
22, , , , , , ,0.0,0.0,0.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0, 
24, , , , , , ,0.0,0.0,1.0, ,0.0, ,2.0, ,0.0, ,1.0,0.0, 
26, , , , , , ,0.0,0.0,0.0, ,1.0, ,3.0, ,2.0, ,6.0,4.0, 
28, , , , , , ,0.0,0.0,0.0, ,3.0, ,6.0, ,1.0, ,20.0,27.0, 
30, , , , , , ,0.0,0.0,1.0, ,5.0, ,13.0, ,34.0, ,107.0,55.0, 
50, , , , , , ,402.0, , ,5.0, , , , ,424.0, , , ,29.0
60, , , , , , ,600, , ,600, , , , ,600, , , ,375.0
70, , , , , , ,600, , ,600, , , , ,600, , , ,26.0
80, , , , , , ,600, , ,600, , , , ,600, , , ,600
90,600, ,600, ,600, ,600, , ,600, , , , ,600, , , ,600
92,600, ,600, ,600, , , , , , , , , , , , , , 
94,600, ,600, ,600, , , , , , , , , , , , , , 
96,600, ,600, ,600, , , , , , , , , , , , , , 
98,600, ,600, ,600, , , , , , , , , , , , , , 
100,600, ,600, ,600, ,600, , ,600, , , , ,600, , , ,210.0
